thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
84,0,84,[np.float64(0.12777777777777777)],[np.float64(-0.35555555555555557)],[1],[0],[0],[1.3233636000659317],['target'],84,0,84,0,164.95010040001944,,5,164.94502230011858,164.95010040001944,164.95010040001944,0.00980819994583726,166.2685080000665,[np.float64(0.12777777777777777)],[np.float64(-0.35555555555555557)],[1],[0],[0],[1.3233636000659317],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
85,0,85,[np.float64(0.07685185185185185)],[np.float64(-0.19074074074074074)],[1],[0],[0],[1.5036230999976397],['target'],85,0,85,0,166.30740150017664,,5,166.29701670003124,166.30740150017664,166.30740150017664,0.02832219982519746,167.8006610001903,[np.float64(0.07685185185185185)],[np.float64(-0.19074074074074074)],[1],[0],[0],[1.5036230999976397],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
86,0,86,[np.float64(-0.11574074074074074)],[np.float64(0.41759259259259257)],[1],[0],[0],[1.7868983999360353],['target'],86,0,86,0,167.81914190016687,,5,167.81395040010102,167.81914190016687,167.81914190016687,0.01319199986755848,169.60091770021245,[np.float64(-0.11574074074074074)],[np.float64(0.41759259259259257)],[1],[0],[0],[1.7868983999360353],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
87,0,87,[np.float64(-0.06759259259259259)],[np.float64(0.4111111111111111)],[1],[0],[0],[1.2582070999778807],['target'],87,0,87,0,169.6362112001516,,10,169.6257658000104,169.6362112001516,169.6362112001516,0.02471760008484125,170.88401820021681,[np.float64(-0.06759259259259259)],[np.float64(0.4111111111111111)],[1],[0],[0],[1.2582070999778807],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
88,0,88,[np.float64(-0.37592592592592594)],[np.float64(-0.13425925925925927)],[1],[0],[0],[1.6538019999861717],['target'],88,0,88,0,170.92129920003936,,5,170.9137658001855,170.92129920003936,170.92129920003936,0.02965739998035133,172.56760250008665,[np.float64(-0.37592592592592594)],[np.float64(-0.13425925925925927)],[1],[0],[0],[1.6538019999861717],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
89,0,89,[np.float64(-0.2824074074074074)],[np.float64(-0.4675925925925926)],[1],[0],[0],[3.2469810999464244],['target'],89,0,89,0,172.59808440017514,,10,172.58699980005622,172.59808440017514,172.59808440017514,0.019296000013127923,175.83402660000138,[np.float64(-0.2824074074074074)],[np.float64(-0.4675925925925926)],[1],[0],[0],[3.2469810999464244],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
90,0,90,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[1.9813014999963343],['target'],90,0,90,0,175.86181580019183,,10,175.85328860022128,175.86181580019183,175.86181580019183,0.019143200013786554,177.83466680021957,[np.float64(-0.07962962962962963)],[np.float64(-0.30925925925925923)],[1],[0],[0],[1.9813014999963343],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
91,0,91,[np.float64(0.40185185185185185)],[np.float64(0.28425925925925927)],[1],[0],[0],[1.7779455999843776],['target'],91,0,91,0,177.86760580004193,,10,177.85654010018334,177.86760580004193,177.86760580004193,0.02169240009970963,179.63455570000224,[np.float64(0.40185185185185185)],[np.float64(0.28425925925925927)],[1],[0],[0],[1.7779455999843776],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
92,0,92,[np.float64(-0.4166666666666667)],[np.float64(-0.014814814814814815)],[1],[0],[0],[2.008341300068423],['target'],92,0,92,0,179.66805860004388,,10,179.65924410009757,179.66805860004388,179.66805860004388,0.024502400076016784,181.66766860010102,[np.float64(-0.4166666666666667)],[np.float64(-0.014814814814814815)],[1],[0],[0],[2.008341300068423],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
93,0,93,[np.float64(-0.3175925925925926)],[np.float64(-0.2824074074074074)],[1],[0],[0],[1.3513984000310302],['target'],93,0,93,0,181.6881479001604,,5,181.6826587000396,181.6881479001604,181.6881479001604,0.01477620005607605,183.03410990000702,[np.float64(-0.3175925925925926)],[np.float64(-0.2824074074074074)],[1],[0],[0],[1.3513984000310302],['target'],p3,001,2025-09-30_19h20.45.624,visual search,,2025.1.1,60.028945912572865,2025-09-30 19h20.53.142832 +0530,
