stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
29,0.5,12.5,44.386716399982106,,44.37041009997483,44.386716399982106,44.869762199989054,44.869762199989054,44.886840799998026,45.170123899995815,45.33764649997465,right,12.5,0,0,0.4584239000105299,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
30,0.5,13.0,45.35611939994851,,45.33785319997696,45.35611939994851,45.836552699969616,45.836552699969616,45.87013080000179,46.1366801999975,46.253984099952504,right,13.0,0,0,0.40841870004078373,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
31,0.5,13.5,46.27026849996764,,46.25425339996582,46.27026849996764,46.753403699956834,46.753403699956834,46.76992349995999,47.05322239996167,47.17031829996267,left,-13.5,1,1,0.41607510001631454,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
32,0.5,13.5,47.186672499985434,,47.1704475999577,47.186672499985434,47.67036009998992,47.67036009998992,47.686248199956026,47.96931409998797,48.20394099998521,right,13.5,0,0,0.5162026999751106,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
33,0.5,14.0,48.22035339998547,,48.20406939997338,48.22035339998547,48.7034835999948,48.7034835999948,48.720003800000995,49.00370000000112,49.186963899992406,right,14.0,0,0,0.4782988000079058,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
34,0.5,14.5,49.20306049997453,,49.18715879996307,49.20306049997453,49.68679969996447,49.68679969996447,49.703279299952555,,49.88704079994932,left,-14.5,0,0,0.19667620002292097,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
35,0.5,15.0,49.90333889995236,,49.887252099986654,49.90333889995236,50.38733169995248,50.38733169995248,50.403219699976034,,50.636997999972664,right,15.0,1,1,0.24604440003167838,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
36,0.5,15.0,50.65273410000373,,50.63716799998656,50.65273410000373,51.13699149998138,51.13699149998138,51.153521200001705,,51.32143829995766,right,15.0,1,1,0.17220559995621443,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
37,0.5,15.0,51.33646439999575,,51.32160859997384,51.33646439999575,51.82060189999174,51.82060189999174,51.83701309998287,,51.92022369999904,right,15.0,1,1,0.0930182000156492,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
38,0.5,14.5,51.9360161999939,,51.92034289997537,51.9360161999939,52.42075519997161,52.42075519997161,52.43660600000294,,52.4538796999841,left,-14.5,0,0,0.02434420003555715,514307,001,2025-09-04_10h24.36.434,adaptive_staircase,,2025.1.1,59.72556102934177,2025-09-04 10h24.37.917184 +0530,
